tid,text,gt
131,NEB monitors media yet admits the board is NOT PRIVY to this Information . #cdnpoli #elxn42 HTTPURL,1
132,Here 's a clue ... #elxn42 as the #NDP record of failure clearly indicates @USER,0
133,My Mom & campaign volunteers watch my CBC Skype interview fm the campaign office - thanks #Family & Friends in #elxn42,1
134,Rev @USER is the Progressive Canadian candidate in #Newmarket #Ontario . #elxn42 HTTPURL,1
135,October 19 is accountability day . #cdnpoli #elxn42 HTTPURL,2
136,Welfare rates comparison in BC . One up 122 % since 2007 . The other up 0 % since 2007 . #bcpoli #cdnpoli #elxn42,0
137,Wait ! I thought we were BOYCOTTING TIMS ! ! ! What is Stephen Harper DOING ? ? ? #elxn42 #cdnpoli,1
138,Glad #LPC & #GPC ' strongly agree ' #Indigenous ntns should have more ctrl #elxn42 #NDPSomewhatAgrees #VotingCompass,0
139,Stop Mulcair ! #CdnPoli #elxn42,2
140,@USER @USER Dumb meets Dumber #cdnpoli #elxn42,1
141,Will this sign influence two elections this fall ? #weVoteCBC #elxn42 #canpoli #cdnpoli #radio HTTPURL,2
142,My favourite sign location this week for obvious reasons #Results4Durham #elxn42 @USER @USER,1
143,"#Markham #Stouffville read @USER ' s latest blog "" "" A letter to my patients "" "" #elxn42 #LPC HTTPURL",1
144,"PM Harper on Justin , Tom and ISIS #elxn42 #polqc",2
145,Bombing campaigns turn innocents into refugees . Canadians send humanitarian message to @USER . #cdnpoli #elxn42,2
146,DEFENCE PLATFORMS > @USER #elxn42 via @USER HTTPURL,1
147,Pre-debate photo op . One of these men will be the next prime minister of Canada #elxn42,1
148,Some of the youth on our regular Tuesday with Rob in #DVW #samarachat #elxn42,1
149,Justin et al ... #cdnpoli #polqc #fed2015 #elxn42,0
150,Vote Conservative Patrick Brown @USER TODAY if you live in #SimcoeNorth ! ! #onpoli #elxn2015,2
151,Choose ... #elxn42 #polqc,0
152,". @USER right now on @USER saying "" "" Bill C - 51 must be repealed . "" "" A Must Watch ! #CDNpoli #elxn42 #GPC",2
153,This is what you call #RealChange - @USER pulling over to recruit volunteers in #Vaughan . #LPC #Elxn42,1
154,"Quick , bring on a diversion . #cdnpoli #elxn42 HTTPURL",2
155,All of these #CPC candidates not attending @USER #Bramdebate . #shameful #followingorders #cdnpoli #elxn42,2
156,This is what a packed room looks like . #Winnipeg came out for @USER #elxn42 #TM4PM,0
157,Conservatives believe in meaningful symbols . #cdnpoli #elxn42,1
158,Looks like #OttawaVanier #NDP nom . meeting will b full house . U still have til 7:30 pm EST to register ! #elxn42 #tm4pm,0
159,Emojis you wish you had from @USER #elxn42 #cdnpoli,1
160,"Well , this tweet ( story written by @USER ) is generating some buzz in parts of the country #elxn42",0
161,"DISCLAIMER : THERE ARE NO SECOND CLASS CITIZENS , DURING AN ELECTION CAMPAIGN . OFFER EXPIRES 10/19 / 15 #cdnpoli #elxn42",2
162,Good . @USER : Justin Trudeau holds joint news conference with Montreal Mayor Denis Coderre . #elxn42 #LPC #cdnpoli,0
163,""" "" Better is always possible . "" "" - Justin Trudeau . On Oct 19 , help us create a Better Canada ! #elxn42",1
164,"Who 's paying to "" "" promote "" "" this @USER editorial ? Are they complying with #elxn42 spending rules ? #cdnpoli",1
165,Today 's editorial cartoon by @USER #cdnpoli #elxn42 #elxn2015 HTTPURL,1
166,"1 . Excoriating NDP 's spending , @USER on Sun . said she 's "" "" working in Ottawa . "" "" No talk of CPC boss . #elxn42",0
167,Jerry Dias will vote in 2015 because Canada deserves better ! #iwillvote2015 #bcrc15 #elxn42 #cdnpoli,1
168,Looking for a primer on what happened in #elxn42 this week ? Here 's our HATLEY Report #cdnpoli HTTPURL,0
169,"The fundamental flaws in the Canadian health care system , Dr . David Naylor #cmagc #elxn42 HTTPURL",2
170,We need as many people as possible to hear about #LeapManifesto NOW — during #elxn42 season HTTPURL,2
171,Ran into @USER on the campaign trail . Go @USER ! #elxn42 #ottcity #LPC,1
172,It looks like Team @USER is winning the battle on the ground with the #lawnsigns #elxn42 #TeamTrudeau #cdnpoli,0
173,“ @USER : IN LIFE OF #POLITICIAN ONE MUST CHOOSE BETWEEN #TRUTH or CONSEQUENCE #HarperKnew #elxn42 #ethics,2
174,Guelph ! Your @USER candidate in #elxn42 is Tristan Deen ! #VoteCommunist #cdnpoli HTTPURL,0
175,"Got my buttons , got my sign , I 'm ready to rock ! Also , @USER ' s volunteers are the nicest ! #elxn42",1
176,"Veterans cheer Trudeau 's promise of new day in pensions , benefits : #cdnpoli #elxn42 #lpc HTTPURL",1
177,This is cool . 51 days days till we defeat Stephen Harper and repeal the dangerous #C51 ! #UniRose #SpaFY #elxn42,0
178,and Justin on Putin #cdnpoli #polqc #elxn42 #fed2015,0
179,Seems like @USER and the @USER have things upside down . #cdnpoli #elxn42 #kings-hants #nspoli,2
180,Canadian Media Guild registers as a third party in #elxn42 @USER HTTPURL,0
181,There 's a difference ... #elxn42 #polqc,2
182,Calling in the #LPC heavy hitter . #elxn42 #cdnpoli,0
183,"Canada , at this time in history @USER #elxn42 #polqc",0
184,I 'm On The Agenda Sept 9 @USER 8 & 11pm Discussing Election : Wynne v Harper bc Ont 's 121 Seats #cdnpoli #elxn42 #onpoli,0
185,The federal candidates for Spadina-Fort York presented their ideas tonight to the @USER . @USER #elxn42,0
186,good article on why strategic voting is a sell-out #canpoli #elxn42 HTTPURL,0
187,#CDNpoli #Elxn42 RT @USER : Where was the outrage for this event ?,0
188,THANK YOU ... 4 More Years PLEASE ! #cdnpoli #elxn42 MERCI ... 4 Ans de Plus SVP ! #polqc #fed2015 @USER #PCC #CPC,1
189,Relaxed and havin fun : ) @USER #elxn42 #polqc,1
190,Great night . Less than 5 % we spoke to so far tonight supporting other parties . @USER #yegfed #elxn42,0
191,"Hey Stephen , call an election , they said ... #cdnpoli #elxn42",1
192,If abortion is a settled issue in #Canada than why people get upset with images of abortion ? #elxn42 #CPC #PMSH #CBC,2
193,. @USER now speaking on behalf of the @USER about national food policy #elxn42 #yqr,0
194,People we 're not voting for because they suck at their job : #elxn42 #UniRose,2
195,@USER @USER Hoping the media and voters have called out #Harperman and his sudden riches . #elxn42,0
196,If abortion is a settled issue in #Canada than why people get upset w / images of abortion ? #elxn42 #GPC #VoteGreen,2
197,Troll Activism is my favourite form of Activism . #VictimsofHarperism #cdnpoli #elxn2015,1
198,"@USER @USER The Progressive Canadian Party continues PC , Tory , legacy . #elxn42 HTTPURL",0
199,@USER Harper is sitting back and letting the opposition supporters do his dirty work . #elxn2015,1
200,I imagine things are going to look like this for a couple days once marijuana is legalised #yyc #yeg #absmoke #elxn42,0
201,Trudeau would run deficits to double infrastructure spending #elxn42 HTTPURL,0
202,Had a blast on yesterday 's LIVE Periscope broadcast from @USER in #Langley #elxn42 HTTPURL,0
203,How-to-vote guide for #Canada students . #Elxn42 @USER @USER @USER @USER HTTPURL,1
204,How Harper 's polarizing tactics Turn Out his supporters & Turn Off The Undecideds #elxn42 HTTPURL,2
205,May sets her sights on disaffected Red Tories : #cdnpoli #elxn42 #gpc #cpc HTTPURL,2
206,This is heaven 's best renewable energy source ! I 'd like #Canada to develop alternatives . #vote out #CPC in #elxn42,1
207,Harper supports conservative candidates #elxn42,0
208,We will vote in 2015 because Canada needs the CBC ! #Iwillvote2015 #elxn42 #cdnpoli @USER #cbckids #CBC,1
209,"What can you expect when a party leader comes to town ? A massive Canada flag , to start #elxn42 HTTPURL",1
210,Beautiful morning in #LdnOnt LdnOn North Centre canvassing with @USER & team ! @USER #CanPoli #elxn42,0
211,a real pleasure to see @USER today @USER #RobsonCommunityFair #NDP #VanCentre #Ready4Change #elxn42,1
212,"Heard at the door while out canvassing for @USER : "" "" It is the time for real change in Ottawa "" "" #elxn42 #cdnpoli",1
213,Senthi and the NDP have my vote . #MarkhamThornhill #NDP #TM4PM #cndpoli #elxn42 #elxn2015,1
214,Fear factor now haunts Conservatives : Hébert #cdnpoli #elxn42 HTTPURL,2
215,Cutest attendee at #platformevent Baby Grace debating HC for her future #elxn2015 ##stand4medicare #vote4care,1
216,MT “ @USER : #elxn42 MP Roxanne James DUMB DUMB DUMB DUMB . #BeethovensFifth,1
217,Why vote #CPC ? #cdnpoli #polqc #elxn42 Because they 've got your back .,0
218,That moment on #elxn42 campaign trail when @USER photo bombs your pic w / Rt Hon Paul Martin ! #LPC #Cdnpoli,1
219,#cdnpoli #elxn42 #ready4change 10 questions NDP voters need to ask themselves .,0
220,Curious to hear @USER evade responsibility in #PEI Harper #SenCa #Duffy Scandal . #elxn42 #cdnpoli,0
221,As soon as there is trouble Harper heads to the arctic . To his fav hideout . #Canada #cdnpoli #elxn42,0
222,#Neocon policies make #Canada a worse place . Ppl are happier when things are fair . #elxn42 HTTPURL,0
223,Pumped to open our offices in #PortPerry & #Bowmanville today . Come join us ! #Results4Durham @USER #elxn42,1
224,So did they have an open bar & hors d'oeuvres before the Republican debate yesterday ? #elxn42 #canadiansdoitbetter,1
225,Another bad week on campaign trail can't help already shaky Conservative prospects . #cdnpoli #elxn42 #CPC #NDP #LPC,1
226,October 19 is accountability day . #cdnpoli #elxn42 HTTPURL,0
227,"CSA Ext chatted w / Ont Premier , Guelph MP & Guelph MP candidate . #itsnosecret student issues are #elxn42 issues !",1
228,Max stands tall for @USER and #RealChange in #Canada ! #elxn2015 #elxn42 @USER #lpc2015,1
229,A Special Message from Minister @USER #cdnpoli #elxn2015 #elxn42 Read full text IMPORTANT HTTPURL,0
230,The Strategic Vote | @USER says it does n't belong in this election : #elxn42 HTTPURL,0
231,Party of One #elxn42in3words,0
232,Climate-scam infects the country #elxn42 #polqc,2
233,Harper 's candidates following instructions from the top - @USER,0
234,UNACCEPTABLE : CPC Candidates Do n't Answer Media Questions . Harper Wo n't Answer Cdns ' Qs ! Democracy ? #cdnpoli #elxn42,2
235,Support for Cons weak from all but their hardcore base . TorStar combination of polls . #cdnpoli #elxn42,0
236,"@USER perhaps instead of just focusing on C51 , get Mulcair to debate Indig issues / rights & ans below #elxn42",2
237,"@USER Free advice : Spend more time making your message compassionate , less worrying about the backdrop #elxn42",1
238,"Soon Harper will be giving out #BlueSweaterTaxCredit , follow by #HoldAKittenPhotoOpTaxCredit #Harper #elxn42",1
239,@USER As you said on At Issue tonight . #elxn42,0
240,Repeat offender sought by #OPP for breaching parole . Known to frequent #Barrie area . HTTPURL,2
241,Questions about voting in #elxn42 ? Get reliable answers here : #cdnpoli HTTPURL,0
242,Comparing the Liberal vs Conservative record on infrastructure investment #elxn42 #cdnpoli,0
243,The Liberal plan is the best plan for the middle class . #cdnpoli #elxn42 #canadavotes,1
244,@USER @USER @USER @USER @USER @USER welcomes guests 2 #hamcentre #elxn42,0
245,Tweets about @USER are serious & rightly so . Thought I 'd inject a little humor on the 1st of September ! #elxn42,2
246,Harper Conservatives redefine trickle down theory . #cdnpoli #elxn42,0
247,Are you registered to vote ? #VOTE2015 #ELXN42 HTTPURL,0
248,"It is 34 days , 17 hours to #elxn42 I will vote to #DefendCBC #LoveCBC @USER #Heritage #Tradition #Patriotism",1
249,"@USER #cdnpoli #Elxn42 #harpersupporter - "" "" You 're a lying piece of shit "" """,2
250,"Race narrows , as #NDP support dips . #cdnpoli #elxn42 #elxn2015 #cpc #lpc HTTPURL",0
251,""" "" They 're an athletic , outdoorsy people ... "" "" I guess #mattdamon has n't met @USER #cdnpoli #elxn42",0
252,"There 's nothing we can't do as a nation strong , united , and free . #ELXN42 #REALCHANGE #CNDPOLI #NIAGARA",1
253,@USER #CPC Has reduced taxes on Canadian 's to the lowest level in 50 years #elxn42 #cdnpoli #canpoli,1
254,via . @USER ? Stand clear ! Parkins ' toon on Lynton Crosby jolting Harper 's dead-parrot #elxn42 campaign back to life,2
255,Packed house tonight ! Come and be part of Jeremy 's awesome team ! #cdnpoli #elxn42 #TM4PM HTTPURL,1
256,"We need evidence-based policies , not ones based on ideology . Please vote during #elxn42 #FactsNotFraud #cdnpoli",2
257,Happening NOW #LifeWithNDP Alberta #cdnpoli #polqc #elxn42,1
258,"Progressive Canadians stand up for democratic rights in #Canada , respect for Parliament . "" "" Integrity matters . "" "" #elxn42",1
259,"Beautiful , sunny morning in #LdnOnt North Centre canvassing with @USER & team ! @USER #CanPoli #elxn42",1
260,Today 's editorial cartoon by @USER #elxn42 #elxn2015 #cdnpoli HTTPURL,0
261,So awesome to see @USER @USER @USER #RealChange #elxn42 #cdnpoli #Matt4Confed,1
262,"? ? ? ? Share #CDNpoli ? All parties have until Sept . 28 to name their candidates for federal #elxn42 ? Oct . 19 , 2015 ?",0
263,Essential we ensure we 're ONLY letting in genuine ' refugees ' ... #elxn42 #polqc,2
264,The @USER poll tracker has been updated - see the latest numbers #elxn42 #elxn2015 HTTPURL,0
265,#TBT to last night - was happy to discuss the issues in #Richmond . We can do better ! #elxn42,1
266,Apparently #Missisauga - #Lakeshore NDP candidate is also big on coat hangers . #cdnpoli #elxn42,2
267,@USER Stephen Harper not the first government leader to use children for photo ops . #cdnpoli #elxn42,1
268,"Re : @USER and #climatechange - @USER "" "" first off we admit that it 's real . "" "" #cdnpoli #elxn42 #yyccentre",1
269,Max for Prime Minister . #elxn42,2
270,"Green Party "" "" we wo n't shut down the Oilsands ... diversify economy ... Stop coal .. use solar .. "" "" #elxn42 #yyccentre",1
271,""" "" Tory times are bad times "" "" says #JeanChretien w / @USER at the #HamOnt @USER Rally #cdnpoli #elxn42",2
272,"1/2 Women 's issues debate cancelled because Harper , Mulcair wo n't participate #elxn42 HTTPURL",2
273,Hey #Hamilton ! @USER is having her campaign office opening tomorrow at 5 ; 30pm | #Elxn42 @USER,1
274,Transfer payments have increased by $ 3 Billion 2015-16 #cdnpoli #elxn42 HTTPURL,0
275,"Expect faster pace , harder edge as federal #elxn42 amps up . HTTPURL",0
276,Only 52 % of young Quebecers voted but that was a far better 2011 turnout than elsewhere in Canada . #cdnpoli #elxn42,0
277,@USER in #yxe with @USER candidate for Saskatoon West greeted by exuberant crowd #elxn42 #vote2015,1
278,"@USER HarperCon Bal Gosal says , "" "" I 'm onboard , now pull up the ladder . "" "" #cdnpoli #elxn42 HTTPURL",0
279,CHANGE ? WHY ? #CPC Canada ranked ' most admired ' country in the world #elxn42 #polqc HTTPURL,0
280,Excuses keep coming 4 not attending @USER ' #Bramdebate on 18th from @USER . #cdnpoli #elxn42 #chickenParm,2
281,Hope to see you Sept . 8 #HomelessMemorial #topoli #elxn42 #votehousing4all HTTPURL,1
282,". @USER to unveil policy for shelters , end violence against women #spnews #elxn42 #yxe HTTPURL",1
283,Less than a block from Andrew Thomson 's campaign office . Does he even know what riding he 's in ? #EgLaw #elxn42,0
284,Justin #elxn42 #polqc,0
285,"Why does Canada need public , accessible #childcare ? Here 's why : #cdnpoli #elxn42 #TM4PM HTTPURL",0
286,Share with voting-age students or parents of voting age students ( see also #elxn42 @USER HTTPURL ),0
287,"Progressive Canadians stand up for democratic rights in #Canada , respect for Parliament . "" "" Integrity matters . "" "" #elxn42",0
288,"@USER I can't get a unicorn for the Harpercon campaign . However , I did find a newt . #cdnpoli #elxn42",0
289,CCORIC 's candidates meeting for #KitchenerCentreRiding on #refugee and #immigration . #elxn42 #cdnpoli #cdnimm,1
290,The Media Party loves reporting on #MrsUniverse 's political bent . How about this pro athlete 's ? #cdnpoli #elxn42,2
